date,sym,price,size,qualifier,extime
2014-02-13,RIO.AX,67.86,10,,15:42:19.876
2014-02-13,RIO.AX,67.86,9,,15:42:19.876
2014-02-13,RIO.AX,67.86,124,,15:42:19.876
2014-02-13,RIO.AX,67.86,53,,15:42:19.876
2014-02-13,RIO.AX,67.86,30,,15:42:19.876
2014-02-13,RIO.AX,67.86,50,,15:42:20.407
2014-02-13,RIO.AX,67.86,200,,15:42:20.438
2014-02-13,RIO.AX,67.85,155,,15:42:22.123
2014-02-13,RIO.AX,67.85,175,,15:42:24.806
2014-02-13,RIO.AX,67.855,1,CX,15:42:25.118
2014-02-13,RIO.AX,67.855,1,CX,15:42:25.305
2014-02-13,RIO.AX,67.85,147,,15:42:33.729
2014-02-13,RIO.AX,67.855,56,CX,15:42:39.345
2014-02-13,RIO.AX,67.85,81,,15:42:39.408
2014-02-13,RIO.AX,67.85,675,,15:42:39.408
2014-02-13,RIO.AX,67.85,120,,15:42:39.408
2014-02-13,RIO.AX,67.85,100,,15:42:39.408
2014-02-13,RIO.AX,67.85,100,,15:42:39.408
2014-02-13,RIO.AX,67.85,72,,15:42:39.408
2014-02-13,RIO.AX,67.85,81,,15:42:39.408
2014-02-13,RIO.AX,67.85,6,XT,15:42:39.408
2014-02-13,RIO.AX,67.85,144,,15:42:39.408
2014-02-13,RIO.AX,67.85,100,,15:42:39.408
2014-02-13,RIO.AX,67.85,430,,15:42:39.408
2014-02-13,RIO.AX,67.85,13,,15:42:39.408
2014-02-13,RIO.AX,67.85,1,,15:42:39.408
2014-02-13,RIO.AX,67.85,597,,15:42:39.408
2014-02-13,RIO.AX,67.85,150,,15:42:39.439
2014-02-13,RIO.AX,67.86,24,,15:42:39.439
2014-02-13,RIO.AX,67.86,125,,15:42:39.439
2014-02-13,RIO.AX,67.86,31,,15:42:39.439
2014-02-13,RIO.AX,67.86,1,,15:42:39.439
2014-02-13,RIO.AX,67.86,15,XT,15:42:39.439
2014-02-13,RIO.AX,67.86,100,,15:42:39.439
2014-02-13,RIO.AX,67.86,47,,15:42:39.439
2014-02-13,RIO.AX,67.86,69,,15:42:39.439
2014-02-13,RIO.AX,67.86,69,,15:42:39.439
2014-02-13,RIO.AX,67.86,36,,15:42:39.439
2014-02-13,RIO.AX,67.865,72,CX,15:42:39.439
2014-02-13,RIO.AX,67.86,200,,15:42:39.439
2014-02-13,RIO.AX,67.86,2013,,15:42:39.439
2014-02-13,RIO.AX,67.87,4,,15:42:39.439
2014-02-13,RIO.AX,67.85,150,,15:42:39.470
2014-02-13,RIO.AX,67.84,2,,15:42:39.470
2014-02-13,RIO.AX,67.84,100,,15:42:39.501
2014-02-13,RIO.AX,67.84,19,,15:42:39.501
2014-02-13,RIO.AX,67.84,81,,15:42:39.532
2014-02-13,RIO.AX,67.84,52,,15:42:39.532
2014-02-13,RIO.AX,67.84,20,,15:42:39.532
2014-02-13,RIO.AX,67.84,4,,15:42:39.532
2014-02-13,RIO.AX,67.84,102,,15:42:39.532
2014-02-13,RIO.AX,67.83,3,,15:42:39.626
2014-02-13,RIO.AX,67.83,8,,15:42:39.876
2014-02-13,RIO.AX,67.83,120,,15:42:39.876
2014-02-13,RIO.AX,67.83,150,XT,15:42:39.907
2014-02-13,RIO.AX,67.82,1,,15:42:39.907
2014-02-13,RIO.AX,67.82,150,,15:42:39.907
2014-02-13,RIO.AX,67.82,82,,15:42:39.969
2014-02-13,RIO.AX,67.82,45,,15:42:39.969
2014-02-13,RIO.AX,67.82,69,,15:42:40.000
2014-02-13,RIO.AX,67.81,32,,15:42:40.000
2014-02-13,RIO.AX,67.81,100,,15:42:40.000
2014-02-13,RIO.AX,67.81,69,,15:42:40.000
2014-02-13,RIO.AX,67.81,786,,15:42:40.000
2014-02-13,RIO.AX,67.83,32,,15:42:40.063
2014-02-13,RIO.AX,67.83,20,,15:42:42.184
2014-02-13,RIO.AX,67.83,80,,15:42:42.216
2014-02-13,RIO.AX,67.83,1,,15:42:42.216
2014-02-13,RIO.AX,67.84,175,,15:42:43.308
2014-02-13,RIO.AX,67.84,5,,15:42:43.308
2014-02-13,RIO.AX,67.83,200,,15:42:43.495
2014-02-13,RIO.AX,67.85,14,,15:42:45.710
2014-02-13,RIO.AX,67.85,5,,15:42:45.710
2014-02-13,RIO.AX,67.85,57,,15:42:45.710
2014-02-13,RIO.AX,67.85,150,,15:42:45.710
2014-02-13,RIO.AX,67.85,69,,15:42:45.710
2014-02-13,RIO.AX,67.85,127,,15:42:45.710
2014-02-13,RIO.AX,67.85,1,,15:42:45.710
2014-02-13,RIO.AX,67.85,200,,15:42:46.240
2014-02-13,RIO.AX,67.85,49,,15:42:46.771
2014-02-13,RIO.AX,67.84,137,,15:42:46.771
2014-02-13,RIO.AX,67.85,92,,15:42:46.864
2014-02-13,RIO.AX,67.85,13,,15:42:46.896
2014-02-13,RIO.AX,67.85,150,,15:42:46.896
2014-02-13,RIO.AX,67.85,37,,15:42:46.927
2014-02-13,RIO.AX,67.85,113,,15:42:52.605
2014-02-13,RIO.AX,67.85,87,,15:42:52.605
2014-02-13,RIO.AX,67.85,106,,15:42:59.157
2014-02-13,RIO.AX,67.85,1,,15:42:59.157
2014-02-13,RIO.AX,67.85,69,,15:42:59.157
2014-02-13,RIO.AX,67.85,13,,15:42:59.157
2014-02-13,RIO.AX,67.84,171,,15:43:05.803
2014-02-13,RIO.AX,67.85,109,CX,15:43:12.667
2014-02-13,RIO.AX,67.85,1,CX,15:43:16.567
2014-02-13,RIO.AX,67.845,166,CX,15:43:19.000
2014-02-13,RIO.AX,67.845,30,CX,15:43:27.612
2014-02-13,RIO.AX,67.84,218,,15:43:27.643
2014-02-13,RIO.AX,67.84,5,,15:43:27.643
2014-02-13,RIO.AX,67.84,27,,15:43:27.643
2014-02-13,RIO.AX,67.84,23,XT,15:43:28.017
2014-02-13,RIO.AX,67.84,143,,15:43:35.443
2014-02-13,RIO.AX,67.84,206,,15:43:35.848
2014-02-13,RIO.AX,67.84,16,,15:43:35.848
2014-02-13,RIO.AX,67.84,1,,15:43:35.848
2014-02-13,RIO.AX,67.84,164,,15:43:35.880
2014-02-13,RIO.AX,67.84,1,,15:43:35.880
2014-02-13,RIO.AX,67.84,21,,15:43:35.911
2014-02-13,RIO.AX,67.84,1,,15:43:38.563
2014-02-13,RIO.AX,67.84,1,,15:43:38.563
2014-02-13,RIO.AX,67.84,65,,15:43:38.563
2014-02-13,RIO.AX,67.84,6,,15:43:38.563
2014-02-13,RIO.AX,67.84,3,,15:43:38.563
2014-02-13,RIO.AX,67.84,133,,15:43:38.563
2014-02-13,RIO.AX,67.84,23,,15:43:38.563
2014-02-13,RIO.AX,67.84,57,,15:43:38.563
2014-02-13,RIO.AX,67.84,102,,15:43:38.594
2014-02-13,RIO.AX,67.84,68,,15:43:38.656
2014-02-13,RIO.AX,67.84,164,,15:43:38.656
2014-02-13,RIO.AX,67.84,200,,15:43:38.688
2014-02-13,RIO.AX,67.84,234,,15:43:38.688
2014-02-13,RIO.AX,67.83,115,,15:43:38.968
2014-02-13,RIO.AX,67.83,100,,15:43:38.968
2014-02-13,RIO.AX,67.83,69,,15:43:38.968
2014-02-13,RIO.AX,67.83,73,,15:43:38.968
2014-02-13,RIO.AX,67.82,40,,15:43:39.093
2014-02-13,RIO.AX,67.82,7,XT,15:43:39.093
2014-02-13,RIO.AX,67.82,3,,15:43:39.093
2014-02-13,RIO.AX,67.82,113,,15:43:39.093
2014-02-13,RIO.AX,67.83,1,,15:43:39.280
2014-02-13,RIO.AX,67.81,10,,15:43:49.015
2014-02-13,RIO.AX,67.81,92,,15:43:49.639
2014-02-13,RIO.AX,67.82,126,,15:43:56.659
2014-02-13,RIO.AX,67.82,1,,15:43:56.659
2014-02-13,RIO.AX,67.82,120,,15:43:56.659
2014-02-13,RIO.AX,67.82,34,,15:43:56.659
2014-02-13,RIO.AX,67.82,115,,15:43:56.659
2014-02-13,RIO.AX,67.82,101,,15:43:56.659
2014-02-13,RIO.AX,67.82,200,,15:43:56.659
2014-02-13,RIO.AX,67.83,1,,15:43:56.690
